-90	-38.03	-38.03	-38.03	-8.02999999889031	-8.02999999933512
-89	-31.77	-35.71	-30.29	-4.4689190401052	-5.76740427010375
-88	-26.26	-29.73	-24.65	-1.3172955348827	-3.52771075433762
-87	-23.22	-26.25	-21.47	1.49842682659713	-1.31158650748211
-86	-21.17	-23.8	-19.28	4.03666040889602	0.880319444189874
-85	-19.65	-21.91	-17.62	6.34439952177456	3.04737610291301
-84	-18.45	-20.37	-16.3	8.45974441125348	5.18898251843461
-83	-17.48	-19.08	-15.2	10.4140045854981	7.30462788303987
-82	-16.66	-17.98	-14.26	12.2330509528868	9.39377134150138
-81	-15.96	-17	-13.44	13.9384275799786	11.4559020861043
-80	-15.35	-16.14	-12.72	15.5481629743544	13.4905994516719
-79	-14.8	-15.37	-12.06	17.0774611774072	15.4974427730271
-78	-14.31	-14.67	-11.47	18.53924261957	17.4759813374805
-77	-13.86	-14.03	-10.93	19.9444746429543	19.4259146699057
-76	-13.45	-13.44	-10.43	21.3024719764771	21.3469122476637
-75	-13.07	-12.9	-9.97	22.6211671634737	23.2386435481156
-74	-12.71	-12.39	-9.54	23.9078016544891	25.1006879060845
-73	-12.38	-11.93	-9.13	25.1676938592597	26.9332857016714
-72	-12.06	-11.49	-8.75	26.4065528051861	28.7355355094973
-71	-11.76	-11.08	-8.39	27.6282846689107	30.508038279815
-70	-11.47	-10.7	-8.05	28.8367956270761	32.2498925872452
-69	-11.19	-10.33	-7.73	30.0350904309457	33.9613989069146
-68	-10.92	-9.99	-7.42	31.2261738317829	35.6425572388229
-67	-10.66	-9.67	-7.13	32.4121491554723	37.2930671078438
-66	-10.41	-9.37	-6.85	33.5951197278982	38.9126280388511
-65	-10.17	-9.08	-6.58	34.7765879246924	40.5018409820974
-64	-9.93	-8.8	-6.32	35.9577556463603	42.0604054624564
-63	-9.7	-8.54	-6.07	37.1401252685335	43.5880210048017
-62	-9.48	-8.29	-5.83	38.3242977414648	45.085288559386
-61	-9.26	-8.06	-5.61	39.5108740154069	46.5519076510829
-60	-9.04	-7.83	-5.38	40.7001545654861	47.9881787550189
-59	-8.83	-7.62	-5.17	41.8927403419551	49.3941018711939
-58	-8.63	-7.41	-4.97	43.0889318199403	50.7696769996079
-57	-8.43	-7.21	-4.77	44.2881280491889	52.1152046153872
-56	-8.23	-7.03	-4.58	45.490329029701	53.4309851936583
-55	-8.03	-6.85	-4.39	46.6958352366029	54.7167182592947
-54	-7.84	-6.67	-4.21	47.9037452445156	55.9730047625491
-53	-7.66	-6.51	-4.04	49.1137585783127	57.200145178548
-52	-7.48	-6.35	-3.87	50.3255747628678	58.3978390321649
-51	-7.3	-6.2	-3.7	51.5382923728021	59.5669877487789
-50	-7.12	-6.05	-3.55	52.7513104578626	60.7069903781372
-49	-6.95	-5.92	-3.39	53.9640280677969	61.8187483456191
-48	-6.78	-5.78	-3.24	55.175844252352	62.9025621263507
-47	-6.62	-5.65	-3.1	56.3852566358964	63.9581312452057
-46	-6.46	-5.53	-2.96	57.5919647433037	64.9860566524368
-45	-6.3	-5.41	-2.82	58.7947666740685	65.9866388231705
-44	-6.15	-5.3	-2.69	59.9924605276854	66.9598777574066
-43	-5.99	-5.19	-2.56	61.1847458290281	67.9063744053979
-42	-5.85	-5.08	-2.44	62.3701202024648	68.8264292422706
-41	-5.7	-4.98	-2.32	63.5473817474901	69.720042268025
-40	-5.56	-4.89	-2.2	64.7159295138514	70.5875139577871
-39	-5.42	-4.8	-2.09	65.8742611259169	71.4294452618098
-38	-5.29	-4.71	-1.98	67.0214751583076	72.2458361800931
-37	-5.16	-4.62	-1.87	68.1563697105181	73.0369871877633
-36	-5.03	-4.54	-1.77	69.277742882043	73.8031987599467
-35	-4.91	-4.46	-1.67	70.3846932475033	74.545071846896
-34	-4.79	-4.39	-1.57	71.4757184312672	75.262305973485
-33	-4.67	-4.31	-1.48	72.5502174830821	75.9558025650926
-32	-4.56	-4.25	-1.39	73.6066880273161	76.6252611465924
-31	-4.45	-4.18	-1.3	74.6442286385904	77.2712826682373
-30	-4.34	-4.12	-1.22	75.6613369412731	77.8938671300271
-29	-4.24	-4.06	-1.14	76.6574119851115	78.4936154822146
-28	-4.14	-4	-1.06	77.6309513944739	79.0705277247997
-27	-4.05	-3.94	-0.98	78.5813542191077	79.6249043329089
-26	-3.95	-3.89	-0.909999999999999	79.5071180833811	80.1570457816684
-25	-3.87	-3.84	-0.839999999999999	80.407341561915	80.6669520710783
-24	-3.78	-3.79	-0.779999999999999	81.2811232293305	81.1552241513913
-23	-3.7	-3.75	-0.709999999999999	82.1275616602484	81.6218620226073
-22	-3.62	-3.7	-0.649999999999999	82.945154479037	82.0668656847264
-21	-3.54	-3.66	-0.589999999999999	83.7336012105701	82.4908360880012
-20	-3.47	-3.62	-0.539999999999999	84.4920004294685	82.8937732324318
-19	-3.41	-3.59	-0.489999999999999	85.2188497601005	83.2759775931445
-18	-3.34	-3.55	-0.44	85.9138487273398	83.6371486950129
-17	-3.28	-3.52	-0.39	86.5760959058074	83.9781879634161
-16	-3.22	-3.49	-0.339999999999999	87.2046898701241	84.2987949232277
-15	-3.17	-3.46	-0.299999999999999	87.7990296700374	84.5989695744478
-14	-3.12	-3.44	-0.26	88.3585143552944	84.879312867329
-13	-3.07	-3.41	-0.23	88.8822425005163	85.1398248018714
-12	-3.03	-3.39	-0.19	89.3696131554502	85.3805053780749
-11	-2.99	-3.37	-0.159999999999999	89.8203258449699	85.6013545959395
-10	-2.95	-3.35	-0.14	90.2334791436962	85.802973405718
